frame,time_s,bee_id,x,y,speed_mps
0,0.0,1,638.5,128.0,0.0
0,0.0,2,196.5,307.0,0.0
0,0.0,3,141.0,445.5,0.0
1,0.05,1,639.0,127.5,0.001537
1,0.05,2,196.5,304.0,0.006522
1,0.05,3,140.0,444.5,0.003074
2,0.1,1,639.0,128.0,0.001087
2,0.1,2,200.0,298.5,0.014172
2,0.1,3,139.5,446.5,0.004482
3,0.15,1,638.5,128.0,0.001087
3,0.15,2,198.0,295.5,0.007838
3,0.15,3,137.0,451.5,0.012153
4,0.2,1,638.5,128.5,0.001087
4,0.2,2,196.0,293.5,0.006149
4,0.2,3,137.0,454.5,0.006522
5,0.25,1,638.5,128.5,0.0
5,0.25,2,196.5,291.5,0.004482
5,0.25,3,137.0,456.5,0.004348
6,0.3,1,638.5,127.5,0.002174
6,0.3,2,199.0,286.0,0.013134
6,0.3,3,137.0,455.5,0.002174
7,0.35,1,638.5,127.5,0.0
7,0.35,2,202.0,283.0,0.009223
7,0.35,3,137.5,455.5,0.001087
8,0.4,1,639.0,128.0,0.001537
8,0.4,2,205.0,278.5,0.011757
8,0.4,3,138.0,454.0,0.003437
9,0.45,1,639.0,129.5,0.003261
9,0.45,2,206.5,272.0,0.014502
9,0.45,3,138.5,453.5,0.001537
10,0.5,1,639.5,130.5,0.002431
10,0.5,2,208.5,266.5,0.012722
10,0.5,3,138.5,452.5,0.002174
11,0.55,1,639.5,131.0,0.001087
11,0.55,2,210.5,262.0,0.010705
11,0.55,3,138.5,453.0,0.001087
12,0.6,1,639.0,131.5,0.001537
12,0.6,2,213.0,251.5,0.023464
12,0.6,3,138.5,452.5,0.001087
13,0.65,1,639.5,132.5,0.002431
13,0.65,2,216.5,246.5,0.013268
13,0.65,3,139.0,447.5,0.010924
14,0.7,1,639.5,133.5,0.002174
14,0.7,2,216.0,246.0,0.001537
14,0.7,3,139.0,444.5,0.006522
15,0.75,1,640.0,134.5,0.002431
15,0.75,2,216.5,246.5,0.001537
15,0.75,3,139.5,442.5,0.004482
16,0.8,1,640.5,135.0,0.001537
16,0.8,2,219.5,250.0,0.010021
16,0.8,3,140.0,442.0,0.001537
17,0.85,1,641.0,136.0,0.002431
17,0.85,2,219.5,251.0,0.002174
17,0.85,3,140.5,440.5,0.003437
18,0.9,1,642.0,136.5,0.002431
18,0.9,2,222.5,248.5,0.008489
18,0.9,3,140.0,438.5,0.004482
19,0.95,1,645.5,136.5,0.007609
19,0.95,2,226.0,243.0,0.014172
19,0.95,3,140.5,437.5,0.002431
20,1.0,1,647.0,138.0,0.004612
20,1.0,2,232.5,243.5,0.014172
20,1.0,3,140.5,437.5,0.0
21,1.05,1,648.0,141.0,0.006875
21,1.05,2,237.5,244.5,0.011085
21,1.05,3,141.0,438.5,0.002431
22,1.1,1,649.5,144.5,0.008278
22,1.1,2,239.5,245.0,0.004482
22,1.1,3,141.5,437.5,0.002431
23,1.15,1,650.0,147.5,0.006612
23,1.15,2,242.5,245.0,0.006522
23,1.15,3,141.0,438.5,0.002431
24,1.2,1,651.5,151.0,0.008278
24,1.2,2,243.5,250.0,0.011085
24,1.2,3,140.5,441.0,0.005542
25,1.25,1,653.0,154.0,0.007292
25,1.25,2,249.0,250.0,0.011957
25,1.25,3,140.0,443.0,0.004482
26,1.3,1,655.0,160.0,0.013749
26,1.3,2,255.0,252.0,0.013749
26,1.3,3,140.0,444.0,0.002174
27,1.35,1,657.0,164.0,0.009722
27,1.35,2,262.5,256.5,0.019014
27,1.35,3,139.5,445.0,0.002431
28,1.4,1,657.5,166.5,0.005542
28,1.4,2,269.0,259.5,0.015563
28,1.4,3,140.0,445.5,0.001537
29,1.45,1,656.0,169.0,0.006338
29,1.45,2,272.5,261.0,0.008278
29,1.45,3,140.0,445.5,0.0
30,1.5,1,656.0,172.0,0.006522
30,1.5,2,277.5,263.0,0.011707
30,1.5,3,140.5,446.0,0.001537
31,1.55,1,655.5,173.5,0.003437
31,1.55,2,284.0,265.5,0.01514
31,1.55,3,140.5,445.5,0.001087
32,1.6,1,655.0,175.0,0.003437
32,1.6,2,292.0,271.0,0.021105
32,1.6,3,139.5,445.5,0.002174
33,1.65,1,655.0,179.5,0.009783
33,1.65,2,298.0,278.0,0.020042
33,1.65,3,139.5,445.5,0.0
34,1.7,1,654.0,183.5,0.008963
34,1.7,2,302.0,283.0,0.01392
34,1.7,3,139.0,446.5,0.002431
35,1.75,1,653.5,187.5,0.008763
35,1.75,2,310.5,285.5,0.019261
35,1.75,3,140.5,449.0,0.006338
36,1.8,1,653.0,191.0,0.007686
36,1.8,2,314.5,290.0,0.013089
36,1.8,3,149.5,473.0,0.055722
37,1.85,1,652.5,193.5,0.005542
37,1.85,2,321.0,300.0,0.025928
37,1.85,3,160.0,497.0,0.056949
38,1.9,1,650.5,194.5,0.004861
38,1.9,2,325.0,306.0,0.015676
38,1.9,3,169.5,502.5,0.023864
39,1.95,1,649.5,194.5,0.002174
39,1.95,2,327.5,314.0,0.018221
39,1.95,3,174.5,500.0,0.012153
40,2.0,1,648.0,195.0,0.003437
40,2.0,2,333.0,321.5,0.020219
40,2.0,3,175.5,496.0,0.008963
41,2.05,1,646.0,197.5,0.00696
41,2.05,2,339.5,325.5,0.016592
41,2.05,3,176.5,492.0,0.008963
42,2.1,1,643.5,202.5,0.012153
42,2.1,2,342.0,327.5,0.00696
42,2.1,3,179.5,481.0,0.024786
43,2.15,1,640.0,209.0,0.016049
43,2.15,2,344.5,333.0,0.013134
43,2.15,3,184.5,476.0,0.015372
44,2.2,1,639.5,212.5,0.007686
44,2.2,2,346.0,340.5,0.016627
44,2.2,3,192.0,490.5,0.035489
45,2.25,1,634.5,219.0,0.017827
45,2.25,2,347.5,347.0,0.014502
45,2.25,3,194.5,507.0,0.036279
46,2.3,1,630.5,223.5,0.013089
46,2.3,2,351.0,355.5,0.019983
46,2.3,3,194.5,516.0,0.019565
47,2.35,1,629.0,229.5,0.013445
47,2.35,2,357.5,364.0,0.023262
47,2.35,3,194.5,521.0,0.01087
48,2.4,1,628.5,236.5,0.015256
48,2.4,2,368.0,367.0,0.023739
48,2.4,3,193.0,524.5,0.008278
49,2.45,1,628.5,243.5,0.015217
49,2.45,2,375.0,368.5,0.015563
49,2.45,3,194.0,525.0,0.002431
50,2.5,1,628.5,249.5,0.013043
50,2.5,2,381.5,376.5,0.022408
50,2.5,3,194.0,526.0,0.002174
51,2.55,1,628.5,254.5,0.01087
51,2.55,2,387.0,382.5,0.017694
51,2.55,3,199.0,525.0,0.011085
52,2.6,1,626.5,262.5,0.017927
52,2.6,2,391.5,387.5,0.014624
52,2.6,3,205.0,531.5,0.01923
53,2.65,1,621.0,269.0,0.01851
53,2.65,2,392.5,392.0,0.010021
53,2.65,3,206.5,543.5,0.02629
54,2.7,1,614.5,274.0,0.017827
54,2.7,2,393.0,398.0,0.013089
54,2.7,3,206.0,549.0,0.012006
55,2.75,1,611.0,278.5,0.012393
55,2.75,2,395.5,406.5,0.019261
55,2.75,3,206.5,548.5,0.001537
56,2.8,1,610.5,283.0,0.009843
56,2.8,2,400.5,411.0,0.014624
56,2.8,3,207.5,548.5,0.002174
57,2.85,1,611.0,285.0,0.004482
57,2.85,2,403.0,419.0,0.018221
57,2.85,3,208.0,551.5,0.006612
58,2.9,1,611.5,290.5,0.012006
58,2.9,2,404.5,426.5,0.016627
58,2.9,3,206.0,554.0,0.00696
59,2.95,1,609.5,301.0,0.023236
59,2.95,2,404.0,432.5,0.013089
59,2.95,3,205.0,553.0,0.003074
60,3.0,1,609.5,307.0,0.013043
60,3.0,2,401.0,436.5,0.01087
60,3.0,3,210.0,548.5,0.014624
61,3.05,1,608.5,314.5,0.016449
61,3.05,2,399.5,445.5,0.019835
61,3.05,3,218.5,535.0,0.034681
62,3.1,1,608.0,321.5,0.015256
62,3.1,2,399.5,456.5,0.023913
62,3.1,3,221.5,529.5,0.01362
63,3.15,1,604.0,318.5,0.01087
63,3.15,2,399.5,467.5,0.023913
63,3.15,3,219.0,539.0,0.021355
64,3.2,1,600.5,317.5,0.007913
64,3.2,2,398.5,480.0,0.027261
64,3.2,3,220.5,544.5,0.012393
65,3.25,1,597.0,316.5,0.007913
65,3.25,2,399.5,487.5,0.016449
65,3.25,3,222.0,549.0,0.010312
66,3.3,1,593.0,317.0,0.008763
66,3.3,2,398.5,493.5,0.013223
66,3.3,3,221.5,548.5,0.001537
67,3.35,1,589.5,316.5,0.007686
67,3.35,2,400.5,505.0,0.025375
67,3.35,3,217.5,546.5,0.009722
68,3.4,1,588.0,314.5,0.005435
68,3.4,2,405.0,517.5,0.028881
68,3.4,3,211.5,544.5,0.013749
69,3.45,1,585.5,314.0,0.005542
69,3.45,2,406.5,531.5,0.030609
69,3.45,3,210.0,545.0,0.003437
70,3.5,1,584.0,311.5,0.006338
70,3.5,2,407.0,542.0,0.022852
70,3.5,3,200.0,546.0,0.021848
71,3.55,1,581.5,310.5,0.005853
71,3.55,2,408.5,552.0,0.021982
71,3.55,3,192.0,545.5,0.017425
72,3.6,1,577.5,309.5,0.008963
72,3.6,2,412.5,564.5,0.028531
72,3.6,3,190.5,548.0,0.006338
73,3.65,1,573.0,309.0,0.009843
73,3.65,2,419.5,571.5,0.021521
73,3.65,3,192.0,552.0,0.009287
74,3.7,1,570.5,305.5,0.00935
74,3.7,2,427.0,584.0,0.03169
74,3.7,3,194.0,564.0,0.026447
75,3.75,1,564.5,298.0,0.02088
75,3.75,2,440.5,601.0,0.047192
75,3.75,3,196.5,574.5,0.023464
76,3.8,1,558.0,293.5,0.017186
76,3.8,2,448.5,611.5,0.028696
76,3.8,3,199.0,583.5,0.020306
77,3.85,1,553.5,293.0,0.009843
77,3.85,2,452.5,622.0,0.024426
77,3.85,3,201.0,589.5,0.013749
78,3.9,1,547.5,291.0,0.013749
78,3.9,2,456.0,630.5,0.019983
78,3.9,3,205.0,596.0,0.016592
79,3.95,1,538.0,287.0,0.022408
79,3.95,2,460.5,644.0,0.030935
79,3.95,3,209.0,602.5,0.016592
80,4.0,1,530.0,282.0,0.020509
80,4.0,2,463.5,656.5,0.027946
80,4.0,3,211.5,610.0,0.017186
81,4.05,1,525.0,280.0,0.011707
81,4.05,2,463.0,670.0,0.029368
81,4.05,3,212.5,618.0,0.017527
82,4.1,1,520.5,276.5,0.012393
82,4.1,2,460.5,682.5,0.027712
82,4.1,3,214.0,624.5,0.014502
83,4.15,1,516.0,272.0,0.013835
83,4.15,2,457.5,693.5,0.024786
83,4.15,3,216.5,628.5,0.010254
84,4.2,1,510.0,267.5,0.016304
84,4.2,2,455.5,701.5,0.017927
84,4.2,3,217.0,630.5,0.004482
85,4.25,1,507.5,262.5,0.012153
85,4.25,2,452.5,714.0,0.027946
85,4.25,3,216.5,637.5,0.015256
86,4.3,1,506.0,260.0,0.006338
86,4.3,2,450.0,726.0,0.026647
86,4.3,3,216.0,649.0,0.025024
87,4.35,1,504.5,255.0,0.011348
87,4.35,2,445.0,734.5,0.021438
87,4.35,3,216.0,652.5,0.007609
88,4.4,1,502.5,242.5,0.02752
88,4.4,2,440.0,742.0,0.019595
88,4.4,3,214.5,653.5,0.003919
89,4.45,1,501.5,228.5,0.030512
89,4.45,2,437.0,746.5,0.011757
89,4.45,3,213.0,653.0,0.003437
90,4.5,1,501.0,222.5,0.013089
90,4.5,2,435.5,748.0,0.004612
90,4.5,3,214.5,654.5,0.004612
91,4.55,1,501.0,219.5,0.006522
91,4.55,2,438.0,747.0,0.005853
91,4.55,3,215.0,661.0,0.014172
92,4.6,1,501.0,215.0,0.009783
92,4.6,2,445.0,747.5,0.015256
92,4.6,3,214.0,660.0,0.003074
93,4.65,1,500.5,210.5,0.009843
93,4.65,2,455.5,749.0,0.023058
93,4.65,3,209.0,661.0,0.011085
94,4.7,1,499.5,209.5,0.003074
94,4.7,2,459.0,749.0,0.007609
94,4.7,3,204.5,661.5,0.009843
95,4.75,1,500.0,213.0,0.007686
95,4.75,2,468.0,745.0,0.021411
95,4.75,3,202.5,661.5,0.004348
96,4.8,1,498.0,216.0,0.007838
96,4.8,2,475.5,747.5,0.017186
96,4.8,3,203.0,660.5,0.002431
97,4.85,1,495.5,218.0,0.00696
97,4.85,2,481.0,748.5,0.012153
97,4.85,3,202.0,659.0,0.003919
98,4.9,1,492.5,220.0,0.007838
98,4.9,2,486.5,749.5,0.012153
98,4.9,3,201.5,657.5,0.003437
99,4.95,1,486.5,222.0,0.013749
99,4.95,2,492.5,751.0,0.013445
99,4.95,3,202.0,654.5,0.006612
100,5.0,1,483.5,224.0,0.007838
100,5.0,2,501.5,746.5,0.021875
100,5.0,3,203.5,653.0,0.004612
101,5.05,1,481.0,229.0,0.012153
101,5.05,2,506.0,743.0,0.012393
101,5.05,3,206.5,653.5,0.006612
102,5.1,1,479.0,233.0,0.009722
102,5.1,2,513.0,740.5,0.016159
102,5.1,3,207.5,652.5,0.003074
103,5.15,1,476.0,240.5,0.01756
103,5.15,2,517.0,737.5,0.01087
103,5.15,3,208.0,651.0,0.003437
104,5.2,1,474.0,244.5,0.009722
104,5.2,2,521.0,736.5,0.008963
104,5.2,3,205.5,644.5,0.01514
105,5.25,1,473.5,250.0,0.012006
105,5.25,2,524.5,737.5,0.007913
105,5.25,3,203.0,639.5,0.012153
106,5.3,1,471.0,253.5,0.00935
106,5.3,2,530.5,739.5,0.013749
106,5.3,3,202.0,632.0,0.016449
107,5.35,1,467.0,259.0,0.014784
107,5.35,2,546.0,749.5,0.0401
107,5.35,3,199.0,627.5,0.011757
108,5.4,1,464.0,264.5,0.01362
108,5.4,2,556.5,759.0,0.030782
108,5.4,3,201.5,626.0,0.006338
109,5.45,1,458.0,269.5,0.016979
109,5.45,2,564.0,768.0,0.025468
109,5.45,3,208.0,624.0,0.014784
110,5.5,1,455.0,276.0,0.015563
110,5.5,2,577.0,772.5,0.029906
110,5.5,3,210.5,622.0,0.00696
111,5.55,1,455.5,280.0,0.008763
111,5.55,2,584.5,775.5,0.01756
111,5.55,3,209.5,620.0,0.004861
112,5.6,1,453.5,286.5,0.014784
112,5.6,2,589.0,783.0,0.019014
112,5.6,3,208.0,614.5,0.012393
113,5.65,1,451.0,294.5,0.018221
113,5.65,2,595.5,796.5,0.032572
113,5.65,3,205.0,606.0,0.019595
114,5.7,1,450.0,300.5,0.013223
114,5.7,2,596.0,807.5,0.023938
114,5.7,3,203.0,600.0,0.013749
115,5.75,1,451.0,306.0,0.012153
115,5.75,2,599.5,820.0,0.028219
115,5.75,3,202.0,594.0,0.013223
116,5.8,1,452.0,310.0,0.008963
116,5.8,2,603.0,830.5,0.024061
116,5.8,3,202.0,584.0,0.021739
117,5.85,1,451.0,313.0,0.006875
117,5.85,2,605.0,843.5,0.028593
117,5.85,3,200.5,569.0,0.032771
118,5.9,1,450.0,314.0,0.003074
118,5.9,2,605.0,854.0,0.022826
118,5.9,3,198.5,551.5,0.038291
119,5.95,1,453.0,312.0,0.007838
119,5.95,2,605.0,863.0,0.019565
119,5.95,3,196.5,542.5,0.020042
120,6.0,1,453.5,309.5,0.005542
120,6.0,2,604.0,869.0,0.013223
120,6.0,3,198.5,534.5,0.017927
121,6.05,1,453.5,306.0,0.007609
121,6.05,2,601.0,879.0,0.022696
121,6.05,3,199.5,523.5,0.024012
122,6.1,1,453.5,304.0,0.004348
122,6.1,2,601.0,896.0,0.036957
122,6.1,3,200.5,515.0,0.018606
123,6.15,1,453.5,301.5,0.005435
123,6.15,2,595.5,907.0,0.026736
123,6.15,3,201.0,509.5,0.012006
124,6.2,1,454.0,296.5,0.010924
124,6.2,2,594.5,911.0,0.008963
124,6.2,3,203.5,500.0,0.021355
125,6.25,1,457.0,293.0,0.010021
125,6.25,2,596.0,917.0,0.013445
125,6.25,3,206.0,488.0,0.026647
126,6.3,1,461.0,291.5,0.009287
126,6.3,2,596.0,920.0,0.006522
126,6.3,3,210.0,475.5,0.028531
127,6.35,1,465.0,291.0,0.008763
127,6.35,2,598.5,921.5,0.006338
127,6.35,3,211.0,465.5,0.021848
128,6.4,1,468.5,291.5,0.007686
128,6.4,2,600.5,922.5,0.004861
128,6.4,3,210.5,456.5,0.019595
129,6.45,1,474.0,292.5,0.012153
129,6.45,2,602.0,922.5,0.003261
129,6.45,3,211.0,449.5,0.015256
130,6.5,1,478.0,292.5,0.008696
130,6.5,2,605.5,921.5,0.007913
130,6.5,3,210.0,445.0,0.010021
131,6.55,1,483.5,293.0,0.012006
131,6.55,2,608.0,923.0,0.006338
131,6.55,3,208.0,441.5,0.008763
132,6.6,1,491.0,296.5,0.017992
132,6.6,2,610.5,924.5,0.006338
132,6.6,3,206.0,435.0,0.014784
133,6.65,1,498.5,298.5,0.016874
133,6.65,2,612.0,926.0,0.004612
133,6.65,3,203.5,430.0,0.012153
134,6.7,1,506.0,301.5,0.01756
134,6.7,2,615.5,927.5,0.008278
134,6.7,3,203.5,430.5,0.001087
135,6.75,1,511.5,307.5,0.017694
135,6.75,2,617.5,927.5,0.004348
135,6.75,3,202.0,434.5,0.009287
136,6.8,1,518.5,310.5,0.016556
136,6.8,2,617.5,927.0,0.001087
136,6.8,3,203.0,437.5,0.006875
137,6.85,1,524.5,314.0,0.0151
137,6.85,2,613.0,925.5,0.010312
137,6.85,3,203.5,439.0,0.003437
138,6.9,1,534.0,316.0,0.021105
138,6.9,2,611.0,924.5,0.004861
138,6.9,3,203.0,439.5,0.001537
139,6.95,1,540.0,319.5,0.0151
139,6.95,2,606.5,924.5,0.009783
139,6.95,3,202.0,440.5,0.003074
140,7.0,1,544.5,321.5,0.010705
140,7.0,2,605.0,924.5,0.003261
140,7.0,3,201.5,441.0,0.001537
141,7.05,1,551.0,321.5,0.01413
141,7.05,2,603.0,925.0,0.004482
141,7.05,3,201.5,441.5,0.001087
142,7.1,1,559.0,322.5,0.017527
142,7.1,2,599.0,925.5,0.008763
142,7.1,3,201.5,442.0,0.001087
143,7.15,1,565.0,325.0,0.01413
143,7.15,2,596.0,926.0,0.006612
143,7.15,3,202.0,441.0,0.002431
144,7.2,1,569.5,332.0,0.018091
144,7.2,2,594.5,926.0,0.003261
144,7.2,3,202.0,438.0,0.006522
145,7.25,1,574.0,341.5,0.022852
145,7.25,2,593.5,925.5,0.002431
145,7.25,3,200.0,429.5,0.018983
146,7.3,1,577.0,347.0,0.01362
146,7.3,2,594.0,925.5,0.001087
146,7.3,3,199.0,419.0,0.022929
147,7.35,1,580.5,354.5,0.017992
147,7.35,2,594.0,924.5,0.002174
147,7.35,3,201.5,410.5,0.019261
148,7.4,1,587.0,362.5,0.022408
148,7.4,2,593.5,923.5,0.002431
148,7.4,3,201.5,404.5,0.013043
149,7.45,1,595.5,369.5,0.023938
149,7.45,2,592.5,923.0,0.002431
149,7.45,3,200.0,393.5,0.024134
150,7.5,1,602.0,379.5,0.025928
150,7.5,2,591.5,924.0,0.003074
150,7.5,3,200.5,386.0,0.016341
151,7.55,1,607.5,386.0,0.01851
151,7.55,2,590.0,923.5,0.003437
151,7.55,3,201.5,383.0,0.006875
152,7.6,1,612.5,392.0,0.016979
152,7.6,2,588.5,923.5,0.003261
152,7.6,3,205.5,374.0,0.021411
153,7.65,1,621.0,402.0,0.028531
153,7.65,2,588.5,922.5,0.002174
153,7.65,3,212.0,362.5,0.028717
154,7.7,1,625.5,410.0,0.019954
154,7.7,2,588.5,922.0,0.001087
154,7.7,3,218.0,353.0,0.024426
155,7.75,1,629.0,418.0,0.018983
155,7.75,2,589.0,922.5,0.001537
155,7.75,3,221.0,342.0,0.024786
156,7.8,1,633.0,423.5,0.014784
156,7.8,2,588.5,923.0,0.001537
156,7.8,3,225.0,331.0,0.025445
157,7.85,1,641.5,435.0,0.031088
157,7.85,2,588.0,923.0,0.001087
157,7.85,3,227.0,313.5,0.038291
158,7.9,1,645.0,443.5,0.019983
158,7.9,2,587.5,923.5,0.001537
158,7.9,3,228.5,306.0,0.016627
159,7.95,1,645.0,454.0,0.022826
159,7.95,2,587.5,925.0,0.003261
159,7.95,3,230.0,297.0,0.019835
160,8.0,1,647.5,463.0,0.020306
160,8.0,2,589.0,926.0,0.003919
160,8.0,3,236.0,285.0,0.029166
161,8.05,1,650.5,473.0,0.022696
161,8.05,2,590.0,927.0,0.003074
161,8.05,3,241.0,274.5,0.025282
162,8.1,1,652.5,478.0,0.011707
162,8.1,2,590.0,927.5,0.001087
162,8.1,3,243.5,262.0,0.027712
163,8.15,1,654.0,483.0,0.011348
163,8.15,2,588.5,927.5,0.003261
163,8.15,3,243.5,253.0,0.019565
164,8.2,1,657.0,499.5,0.036458
164,8.2,2,586.5,927.0,0.004482
164,8.2,3,246.5,246.5,0.015563
165,8.25,1,657.0,510.0,0.022826
165,8.25,2,584.5,926.0,0.004861
165,8.25,3,253.5,238.0,0.023938
166,8.3,1,656.5,520.5,0.022852
166,8.3,2,581.0,926.5,0.007686
166,8.3,3,265.5,226.0,0.036893
167,8.35,1,656.5,529.0,0.018478
167,8.35,2,576.0,927.5,0.011085
167,8.35,3,271.0,217.0,0.022929
168,8.4,1,655.5,537.5,0.018606
168,8.4,2,575.0,930.0,0.005853
168,8.4,3,275.5,214.5,0.011191
169,8.45,1,657.5,550.0,0.02752
169,8.45,2,571.0,932.0,0.009722
169,8.45,3,278.5,216.0,0.007292
170,8.5,1,656.5,556.0,0.013223
170,8.5,2,571.0,934.0,0.004348
170,8.5,3,279.0,221.5,0.012006
171,8.55,1,657.5,565.5,0.020766
171,8.55,2,570.5,935.5,0.003437
171,8.55,3,276.5,228.0,0.01514
172,8.6,1,657.5,581.5,0.034783
172,8.6,2,566.5,937.5,0.009722
172,8.6,3,275.0,232.0,0.009287
173,8.65,1,658.5,599.0,0.038106
173,8.65,2,563.5,939.0,0.007292
173,8.65,3,274.5,234.5,0.005542
174,8.7,1,659.5,608.5,0.020766
174,8.7,2,560.0,941.0,0.008763
174,8.7,3,274.5,237.0,0.005435
175,8.75,1,659.5,614.5,0.013043
175,8.75,2,559.5,942.5,0.003437
175,8.75,3,274.0,237.5,0.001537
176,8.8,1,663.0,617.5,0.010021
176,8.8,2,554.5,944.5,0.011707
176,8.8,3,274.0,238.5,0.002174
177,8.85,1,668.0,626.0,0.021438
177,8.85,2,550.0,945.0,0.009843
177,8.85,3,273.5,238.5,0.001087
178,8.9,1,674.0,632.0,0.018446
178,8.9,2,546.0,946.5,0.009287
178,8.9,3,274.0,238.0,0.001537
179,8.95,1,677.5,632.5,0.007686
179,8.95,2,544.0,946.5,0.004348
179,8.95,3,275.0,238.0,0.002174
180,9.0,1,680.5,631.0,0.007292
180,9.0,2,540.0,947.5,0.008963
180,9.0,3,275.0,237.5,0.001087
181,9.05,1,683.5,630.5,0.006612
181,9.05,2,538.5,947.0,0.003437
181,9.05,3,276.0,235.0,0.005853
182,9.1,1,687.5,629.5,0.008963
182,9.1,2,536.5,947.0,0.004348
182,9.1,3,275.0,232.5,0.005853
183,9.15,1,695.5,630.0,0.017425
183,9.15,2,532.5,947.0,0.008696
183,9.15,3,276.0,229.5,0.006875
184,9.2,1,707.0,631.0,0.025094
184,9.2,2,527.0,946.0,0.012153
184,9.2,3,275.5,225.0,0.009843
185,9.25,1,710.5,629.5,0.008278
185,9.25,2,526.5,947.0,0.002431
185,9.25,3,274.5,221.5,0.007913
186,9.3,1,715.0,629.5,0.009783
186,9.3,2,525.5,946.0,0.003074
186,9.3,3,273.0,221.0,0.003437
187,9.35,1,722.5,624.0,0.020219
187,9.35,2,523.0,946.5,0.005542
187,9.35,3,274.0,225.0,0.008963
188,9.4,1,726.0,621.5,0.00935
188,9.4,2,522.5,949.5,0.006612
188,9.4,3,276.0,229.0,0.009722
189,9.45,1,728.5,620.0,0.006338
189,9.45,2,520.5,949.5,0.004348
189,9.45,3,277.5,230.0,0.003919
190,9.5,1,732.5,617.0,0.01087
190,9.5,2,514.5,950.0,0.013089
190,9.5,3,276.5,232.5,0.005853
191,9.55,1,737.0,611.5,0.015449
191,9.55,2,512.0,950.5,0.005542
191,9.55,3,275.5,230.0,0.005853
192,9.6,1,742.0,607.5,0.01392
192,9.6,2,510.0,951.0,0.004482
192,9.6,3,273.0,229.5,0.005542
193,9.65,1,745.0,606.0,0.007292
193,9.65,2,511.0,950.5,0.002431
193,9.65,3,272.5,228.0,0.003437
194,9.7,1,750.5,599.5,0.01851
194,9.7,2,512.5,950.5,0.003261
194,9.7,3,269.5,231.0,0.009223
195,9.75,1,759.5,594.0,0.022929
195,9.75,2,515.5,950.0,0.006612
195,9.75,3,269.5,236.0,0.01087
196,9.8,1,765.5,591.5,0.01413
196,9.8,2,517.5,950.5,0.004482
196,9.8,3,268.5,239.0,0.006875
197,9.85,1,770.0,593.0,0.010312
197,9.85,2,521.0,950.5,0.007609
197,9.85,3,262.5,240.5,0.013445
198,9.9,1,769.5,594.5,0.003437
198,9.9,2,524.0,950.0,0.006612
198,9.9,3,256.0,239.0,0.014502
199,9.95,1,772.0,597.0,0.007686
199,9.95,2,529.0,950.0,0.01087
199,9.95,3,252.5,238.5,0.007686
200,10.0,1,778.5,603.0,0.01923
200,10.0,2,532.0,948.5,0.007292
200,10.0,3,246.5,241.0,0.01413
201,10.05,1,786.0,607.5,0.019014
201,10.05,2,533.5,947.5,0.003919
201,10.05,3,240.5,237.5,0.0151
202,10.1,1,788.0,610.0,0.00696
202,10.1,2,533.5,946.0,0.003261
202,10.1,3,236.0,235.5,0.010705
203,10.15,1,789.0,616.5,0.014297
203,10.15,2,532.5,943.0,0.006875
